date,open,high,low,close,volume
1502668800000.0,4261.48,4485.39,4086.29,3850.0,2843.431426
1503273600000.0,4069.13,4453.91,4310.01,3400.0,4599.396629
1503878400000.0,4310.01,4939.19,4509.08,4124.54,4753.843376
1504483200000.0,4505.0,4788.59,4130.37,3603.0,6382.787745
1505088000000.0,4153.62,4394.59,3699.99,2817.0,8106.705127
1505692800000.0,3690.0,4123.2,3660.02,3505.55,5908.32335
1506297600000.0,3660.02,4406.52,4378.48,3653.69,5782.305424
1506902400000.0,4400.0,4658.0,4640.0,4110.0,4708.272956
1507507200000.0,4640.0,5922.3,5709.99,4550.0,7913.925837
1508112000000.0,5710.0,6171.0,5950.02,5037.95,12157.769447
1508716800000.0,5975.0,6189.88,6169.98,5286.98,13133.99457
1509321600000.0,6133.01,7590.25,7345.01,6030.0,11663.209648
1509926400000.0,7345.1,7770.02,5811.03,5325.01,18916.3199
1510531200000.0,5839.94,8123.15,8038.0,5699.99,19791.101011
1511136000000.0,8057.11,9350.0,9128.02,7801.0,28921.859792
1511740800000.0,9128.0,11825.0,11165.41,8520.0,48427.94965
1512345600000.0,11165.41,17204.99,14899.98,10802.0,72469.977627
1512950400000.0,14946.26,19798.68,18860.02,14666.56,67851.486215
1513555200000.0,18860.04,19300.0,13500.0,10961.0,135385.440322
1514160000000.0,13500.0,16498.05,13716.36,11750.0,116522.754321
1514764800000.0,13715.65,17176.24,16150.03,12750.0,120239.399359
1515369600000.0,16218.85,16322.3,13474.99,11400.0,137537.904565
1515974400000.0,13477.98,14249.99,11530.0,9035.0,303127.502137
1516579200000.0,11530.0,12244.0,11879.95,9900.24,198030.051117
1517184000000.0,11879.95,11975.02,8184.81,7930.0,202016.407759
1517788800000.0,8179.99,9065.78,8063.88,6000.01,340794.292131
1518393600000.0,8063.82,11274.0,10383.43,8053.0,311863.068137
1518998400000.0,10375.01,11786.01,9590.0,9274.8,350623.132911
1519603200000.0,9590.0,11565.0,11515.0,9350.0,183970.997614
1520208000000.0,11515.0,11710.0,9533.57,8329.0,282035.225382
1520812800000.0,9533.57,9888.88,8189.99,7322.0,315835.151606
