date,open,high,low,close,volume
1502928000000.0,4261.48,4485.39,4285.08,4200.74,795.150377
1503014400000.0,4285.08,4371.52,4108.37,3938.77,1199.888264
1503100800000.0,4108.37,4184.69,4139.98,3850.0,381.309763
1503187200000.0,4120.98,4211.08,4086.29,4032.62,467.083022
1503273600000.0,4069.13,4119.62,4016.0,3911.79,691.74306
1503360000000.0,4016.0,4104.82,4040.0,3400.0,966.684858
1503446400000.0,4040.0,4265.8,4114.01,4013.89,1001.136565
1503532800000.0,4147.0,4371.68,4316.01,4085.01,787.418753
1503619200000.0,4316.01,4453.91,4280.68,4247.48,573.61274
1503705600000.0,4280.71,4367.0,4337.44,4212.41,228.108068
1503792000000.0,4332.51,4400.0,4310.01,4285.54,350.692585
1503878400000.0,4310.01,4399.82,4386.69,4124.54,603.841616
1503964800000.0,4353.65,4625.85,4587.48,4313.55,603.545028
1504051200000.0,4564.52,4647.51,4555.14,4416.01,808.468771
1504137600000.0,4555.14,4745.42,4724.89,4555.14,556.956802
1504224000000.0,4689.89,4885.55,4834.91,4654.88,560.666366
1504310400000.0,4796.16,4939.19,4472.14,4286.87,929.148595
1504396800000.0,4508.5,4714.76,4509.08,4298.33,691.216198
1504483200000.0,4505.0,4527.49,4100.11,3972.51,1394.644614
1504569600000.0,4106.97,4484.99,4366.47,3603.0,1228.938157
1504656000000.0,4366.49,4662.87,4619.77,4335.26,807.363726
1504742400000.0,4619.77,4788.59,4691.61,4438.19,500.429975
1504828800000.0,4691.66,4735.39,4282.8,4028.93,1132.255046
1504915200000.0,4282.8,4426.62,4258.81,4150.06,658.782952
1505001600000.0,4258.81,4283.0,4130.37,3801.0,660.373275
1505088000000.0,4153.62,4334.43,4208.47,4098.91,699.989065
1505174400000.0,4208.6,4394.59,4163.72,4040.8,879.630319
1505260800000.0,4159.72,4165.38,3944.69,3760.0,913.462545
1505347200000.0,3944.0,3993.0,3189.02,3165.13,1665.021543
1505433600000.0,3188.01,3856.0,3700.0,2817.0,1968.866492
1505520000000.0,3674.01,3950.0,3714.95,3470.66,1297.563953
1505606400000.0,3685.23,3748.21,3699.99,3499.02,682.17121
1505692800000.0,3690.0,4123.2,4035.01,3690.0,1030.006455
1505779200000.0,4060.0,4089.97,3910.04,3830.91,902.332129
1505865600000.0,3910.04,4046.08,3900.0,3820.0,720.935076
1505952000000.0,3889.99,3910.0,3609.99,3567.0,1001.654084
1506038400000.0,3592.84,3750.0,3595.87,3505.55,838.966425
1506124800000.0,3595.88,3817.19,3780.0,3542.91,752.792791
1506211200000.0,3779.54,3789.99,3660.02,3622.76,661.63639
1506297600000.0,3660.02,3979.87,3920.75,3653.69,727.994713
1506384000000.0,3928.0,3976.99,3882.35,3850.05,526.727987
1506470400000.0,3882.36,4249.94,4193.0,3872.81,628.170966
1506556800000.0,4192.11,4300.0,4174.5,4101.0,849.785325
1506643200000.0,4178.98,4263.86,4174.69,3952.01,1602.309565
1506729600000.0,4175.0,4380.0,4378.51,4138.1,720.353183
1506816000000.0,4378.49,4406.52,4378.48,4240.04,726.963685
1506902400000.0,4400.0,4561.63,4380.0,4360.0,655.756974
1506988800000.0,4380.0,4467.33,4310.0,4180.8,1082.323563
1507075200000.0,4314.9,4373.0,4208.59,4142.0,868.465101
1507161600000.0,4208.59,4355.0,4292.43,4110.0,779.138638
1507248000000.0,4318.99,4417.0,4369.0,4292.0,506.529176
1507334400000.0,4369.0,4479.5,4423.0,4312.56,297.5975
1507420800000.0,4425.0,4658.0,4640.0,4425.0,518.462004
1507507200000.0,4640.0,4889.98,4786.95,4550.0,646.463145
1507593600000.0,4786.95,4960.0,4783.06,4680.59,1043.221773
1507680000000.0,4783.06,4881.61,4821.43,4710.0,753.429396
1507766400000.0,4821.43,5439.99,5430.0,4810.16,1276.701482
1507852800000.0,5439.99,5846.17,5649.98,5379.84,1879.82762
1507939200000.0,5650.0,5900.0,5869.99,5580.01,970.759046
1508025600000.0,5855.03,5922.3,5709.99,5400.01,1343.523375
1508112000000.0,5710.0,5788.91,5760.02,5585.19,1528.996462
1508198400000.0,5760.0,5774.98,5595.0,5508.63,1429.869376
1508284800000.0,5595.0,5596.0,5512.06,5037.95,2317.804373
1508371200000.0,5513.0,5710.0,5683.9,5490.26,1881.722107
1508457600000.0,5683.31,6110.0,6010.01,5600.0,1972.97722
1508544000000.0,6013.72,6171.0,6024.97,5850.03,1664.307693
1508630400000.0,6003.27,6060.0,5950.02,5720.03,1362.092216
1508716800000.0,5975.0,6080.0,5915.93,5621.03,1812.557715
1508803200000.0,5909.47,5925.0,5477.03,5450.0,2580.418767
1508889600000.0,5506.92,5704.96,5689.99,5286.98,2282.813205
1508976000000.0,5670.1,5939.99,5861.77,5650.0,1972.965882
1509062400000.0,5861.77,5980.0,5768.83,5649.24,1403.706416
1509148800000.0,5768.79,5850.02,5719.64,5630.03,1276.754412
1509235200000.0,5709.98,6189.88,6169.98,5648.01,1804.778173
1509321600000.0,6133.01,6248.68,6120.5,6030.0,1473.687043
1509408000000.0,6120.52,6498.01,6463.0,6100.0,1511.774925
1509494400000.0,6463.0,6774.67,6753.98,6338.02,1675.615188
1509580800000.0,6753.98,7300.0,7019.98,6685.1,2503.610803
1509667200000.0,7010.31,7346.34,7115.04,6923.0,1891.497592
1509753600000.0,7115.02,7480.99,7357.09,6901.0,1399.191767
1509840000000.0,7357.27,7590.25,7345.01,7279.02,1207.83233
1509926400000.0,7345.1,7401.0,6960.12,6906.0,1763.019261
1510012800000.0,6981.72,7198.49,7064.04,6901.0,1440.259494
1510099200000.0,7070.0,7770.02,7303.0,6651.0,2822.298802
1510185600000.0,7303.01,7392.0,7079.99,7015.0,1913.398308
1510272000000.0,7079.0,7279.91,6506.98,6255.01,3254.704105
1510358400000.0,6503.0,6797.98,6245.05,6100.0,2754.156861
1510444800000.0,6245.05,6630.0,5811.03,5325.01,4968.483069
1510531200000.0,5839.94,6697.47,6465.99,5699.99,2621.243039
1510617600000.0,6465.99,6684.98,6574.99,6311.07,1254.292531
1510704000000.0,6575.99,7298.0,7240.06,6575.99,1779.605845
1510790400000.0,7240.14,7940.0,7864.5,7076.0,2331.95675
1510876800000.0,7876.98,7989.0,7699.19,7451.0,3982.395925
1510963200000.0,7680.01,7819.99,7761.94,7422.0,3954.266477
1511049600000.0,7761.94,8123.15,8038.0,7650.33,3867.340444
1511136000000.0,8057.11,8319.99,8212.0,7954.0,3886.634348
1511222400000.0,8212.49,8400.0,8119.51,7801.0,4544.474016
